Facility Code,Station Name,Display Name,Postcode,Postcode,Latitude,Longitude,Maximum Capacity (MW),Fuel Tech,2nd Fuel,3rd Fuel,State
KALBARRI_WF1,KALBARRI,Kalbarri Wind Farm,WA,6535,-27.8983027,114.1923536,1.6,wind,,,Commissioned
KEMERTON_GT11,KEMERTON,Kemerton Power Station,WA,6233,-33.1635661,115.7811324,154.7,gas_ocgt,distillate,,Commissioned
KEMERTON_GT12,KEMERTON,Kemerton Power Station,WA,6233,-33.1635661,115.7811324,154.7,gas_ocgt,distillate,,Commissioned
KWINANA_GT1,KWINANA,Synergy Kwinana Power Station,WA,6165,-32.197245,115.775445,420,oil,black_coal,gas_ocgt,Retired
KWINANA_GT2,KWINANA,Synergy Kwinana Power Station,WA,6165,-32.197245,115.775445,103.2,gas_ocgt,distillate,,Commissioned
KWINANA_GT3,KWINANA,Synergy Kwinana Power Station,WA,6165,-32.197245,115.775445,103.2,gas_ocgt,distillate,,Commissioned
MUJA_G5,MUJA,Muja Power Station,WA,6225,-33.445811,116.306655,195.8,black_coal,,,Commissioned
MUJA_G6,MUJA,Muja Power Station,WA,6225,-33.445811,116.306655,193.6,black_coal,,,Commissioned
MUJA_G7,MUJA,Muja Power Station,WA,6225,-33.445811,116.306655,212.6,black_coal,,,Commissioned
MUJA_G8,MUJA,Muja Power Station,WA,6225,-33.445811,116.306655,212.6,black_coal,,,Commissioned
MUNGARRA_GT1,MUNGARRA,Mungarra Power Station,WA,6630,-28.8878993,115.115999,39.5,gas_ocgt,,,Commissioned
MUNGARRA_GT2,MUNGARRA,Mungarra Power Station,WA,6630,-28.8878993,115.115999,39.5,gas_ocgt,,,Commissioned
MUNGARRA_GT3,MUNGARRA,Mungarra Power Station,WA,6630,-28.8878993,115.115999,38,gas_ocgt,,,Commissioned
PINJAR_GT1,PINJAR,Pinjar Power Station,WA,6078,-31.5585449,115.8185124,38.5,gas_ocgt,distillate,,Commissioned
PINJAR_GT10,PINJAR,Pinjar Power Station,WA,6078,-31.5585449,115.8185124,118.2,gas_ocgt,,,Commissioned
PINJAR_GT11,PINJAR,Pinjar Power Station,WA,6078,-31.5585449,115.8185124,130,gas_ocgt,,,Commissioned
PINJAR_GT2,PINJAR,Pinjar Power Station,WA,6078,-31.5585449,115.8185124,38.5,gas_ocgt,distillate,,Commissioned
PINJAR_GT3,PINJAR,Pinjar Power Station,WA,6078,-31.5585449,115.8185124,39.3,gas_ocgt,distillate,,Commissioned
PINJAR_GT4,PINJAR,Pinjar Power Station,WA,6078,-31.5585449,115.8185124,39.3,gas_ocgt,distillate,,Commissioned
PINJAR_GT5,PINJAR,Pinjar Power Station,WA,6078,-31.5585449,115.8185124,39.3,gas_ocgt,distillate,,Commissioned
PINJAR_GT7,PINJAR,Pinjar Power Station,WA,6078,-31.5585449,115.8185124,39.3,gas_ocgt,distillate,,Commissioned
PINJAR_GT9,PINJAR,Pinjar Power Station,WA,6078,-31.5585449,115.8185124,118.2,gas_ocgt,,,Commissioned
PPP_KCP_EG1,KWINANA,Synergy Kwinana Power Station,WA,6165,-32.197245,115.775445,85.7,gas_ocgt,,,Commissioned
PPP_KCP_IL1,PPP_KCP_IL1,Synergy Industrial Load,WA,6165,,,,industrial_load,,,
SYNERGY_DSP_01,SYNERGY_DSP_01,Synergy Demand Side Program,WA,6000,,,,dsm,,,
SYNERGY_DSP_02,SYNERGY_DSP_02,Synergy Demand Side Program,WA,6000,,,,dsm,,,
SYNERGY_DSP_03,SYNERGY_DSP_03,Synergy Demand Side Program,WA,6000,,,,dsm,,,
SYNERGY_DSP_04,SYNERGY_DSP_04,Synergy Demand Side Program,WA,6000,,,,dsm,,,
SYNERGY_DSP_05,SYNERGY_DSP_05,Synergy Demand Side Program,WA,6000,,,,dsm,,,
SYNERGY_SIMCOA_IL4,SYNERGY_SIMCOA_IL4,Synergy Simcoa Industrial Load,WA,6233,-33.2190422,115.7460792,,dsm,,,Commissioned
SYNERGY_TOWN_OF_KAMBALDA,SYNERGY_TOWN_OF_KAMBALDA,Synergy Town of Kambalda,WA,6442,-31.2015528,121.6537378,,dsm,,,Commissioned
WEST_KALGOORLIE_GT2,WEST_KALGOORLIE,West Kalgoorlie Power Station,WA,6430,-30.7804027,121.4215191,41.2,distillate,gas_ocgt,,Commissioned
WEST_KALGOORLIE_GT3,WEST_KALGOORLIE,West Kalgoorlie Power Station,WA,6430,-30.7804027,121.4215191,23.3,distillate,gas_ocgt,,Commissioned
